"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"456",2016 Q2,"New Commitment","PERSON",1087.03
"457",2016 Q2,"New Commitment","PROPERTY",982.86
"458",2016 Q2,"New Commitment","SEX OFFENSE",1996.68
"459",2016 Q2,"New Commitment","WEAPONS",74.42
"460",2016 Q2,"Technical Commitment","ALCOHOL & DRUG",64.45
"461",2016 Q2,"Technical Commitment","DRIVING",30.65
"462",2016 Q2,"Technical Commitment","DRUG POSSESSION ONLY",30.82
"463",2016 Q2,"Technical Commitment","MURDER",45
"464",2016 Q2,"Technical Commitment","OTHER",13.44
"465",2016 Q2,"Technical Commitment","PERSON",143.36
"466",2016 Q2,"Technical Commitment","PROPERTY",152.25
"467",2016 Q2,"Technical Commitment","SEX OFFENSE",193.75
"468",2016 Q2,"Technical Commitment","WEAPONS",10.98
"469",2016 Q3,"New Commitment","ALCOHOL & DRUG",414.08
"470",2016 Q3,"New Commitment","DRIVING",146.67
"471",2016 Q3,"New Commitment","DRUG POSSESSION ONLY",145.46
"472",2016 Q3,"New Commitment","MURDER",705.64
"473",2016 Q3,"New Commitment","OTHER",71.78
"474",2016 Q3,"New Commitment","PERSON",1099.94
"475",2016 Q3,"New Commitment","PROPERTY",929.73
"476",2016 Q3,"New Commitment","SEX OFFENSE",2000.38
"477",2016 Q3,"New Commitment","WEAPONS",74.73
"478",2016 Q3,"Technical Commitment","ALCOHOL & DRUG",53.86
"479",2016 Q3,"Technical Commitment","DRIVING",31.5
"480",2016 Q3,"Technical Commitment","DRUG POSSESSION ONLY",24.89
"481",2016 Q3,"Technical Commitment","MURDER",46.61
"482",2016 Q3,"Technical Commitment","OTHER",13.29
"483",2016 Q3,"Technical Commitment","PERSON",150.9
"484",2016 Q3,"Technical Commitment","PROPERTY",145.1
"485",2016 Q3,"Technical Commitment","SEX OFFENSE",190.65
"486",2016 Q3,"Technical Commitment","WEAPONS",8.55
"487",2016 Q4,"New Commitment","ALCOHOL & DRUG",402.09
"488",2016 Q4,"New Commitment","DRIVING",146.09
"489",2016 Q4,"New Commitment","DRUG POSSESSION ONLY",120.02
"490",2016 Q4,"New Commitment","MURDER",712.81
"491",2016 Q4,"New Commitment","OTHER",73.69
"492",2016 Q4,"New Commitment","PERSON",1137.29
"493",2016 Q4,"New Commitment","PROPERTY",865.58
"494",2016 Q4,"New Commitment","SEX OFFENSE",2012.32
"495",2016 Q4,"New Commitment","WEAPONS",81.16
"496",2016 Q4,"Technical Commitment","ALCOHOL & DRUG",63.7
"497",2016 Q4,"Technical Commitment","DRIVING",34.27
"498",2016 Q4,"Technical Commitment","DRUG POSSESSION ONLY",31.64
"499",2016 Q4,"Technical Commitment","MURDER",48.53
"500",2016 Q4,"Technical Commitment","OTHER",15.66
"501",2016 Q4,"Technical Commitment","PERSON",149.6
"502",2016 Q4,"Technical Commitment","PROPERTY",141.74
"503",2016 Q4,"Technical Commitment","SEX OFFENSE",190.97
"504",2016 Q4,"Technical Commitment","WEAPONS",10.1
"505",2017 Q1,"New Commitment","ALCOHOL & DRUG",381.93
"506",2017 Q1,"New Commitment","DRIVING",152.75
"507",2017 Q1,"New Commitment","DRUG POSSESSION ONLY",100.19
"508",2017 Q1,"New Commitment","MURDER",724.19
"509",2017 Q1,"New Commitment","OTHER",65.29
"510",2017 Q1,"New Commitment","PERSON",1145.26
"511",2017 Q1,"New Commitment","PROPERTY",845.88
"512",2017 Q1,"New Commitment","SEX OFFENSE",2029.42
"513",2017 Q1,"New Commitment","WEAPONS",78.82
"514",2017 Q1,"Technical Commitment","ALCOHOL & DRUG",66.86
"515",2017 Q1,"Technical Commitment","DRIVING",34.74
"516",2017 Q1,"Technical Commitment","DRUG POSSESSION ONLY",29.57
"517",2017 Q1,"Technical Commitment","MURDER",46.53
"518",2017 Q1,"Technical Commitment","OTHER",16.33
"519",2017 Q1,"Technical Commitment","PERSON",143.52
"520",2017 Q1,"Technical Commitment","PROPERTY",140.39
"521",2017 Q1,"Technical Commitment","SEX OFFENSE",193.45
"522",2017 Q1,"Technical Commitment","WEAPONS",12.48
"523",2017 Q2,"New Commitment","ALCOHOL & DRUG",410.28
"524",2017 Q2,"New Commitment","DRIVING",152.6
"525",2017 Q2,"New Commitment","DRUG POSSESSION ONLY",91.24
"526",2017 Q2,"New Commitment","MURDER",738.35
"527",2017 Q2,"New Commitment","OTHER",70.72
"528",2017 Q2,"New Commitment","PERSON",1163.21
"529",2017 Q2,"New Commitment","PROPERTY",844
"530",2017 Q2,"New Commitment","SEX OFFENSE",2043.43
"531",2017 Q2,"New Commitment","WEAPONS",77.5
"532",2017 Q2,"Technical Commitment","ALCOHOL & DRUG",68.03
"533",2017 Q2,"Technical Commitment","DRIVING",38.59
"534",2017 Q2,"Technical Commitment","DRUG POSSESSION ONLY",37.16
"535",2017 Q2,"Technical Commitment","MURDER",50.57
"536",2017 Q2,"Technical Commitment","OTHER",16.98
"537",2017 Q2,"Technical Commitment","PERSON",142.33
"538",2017 Q2,"Technical Commitment","PROPERTY",156.92
"539",2017 Q2,"Technical Commitment","SEX OFFENSE",195.43
"540",2017 Q2,"Technical Commitment","WEAPONS",19.99
"541",2017 Q3,"New Commitment","ALCOHOL & DRUG",414.32
"542",2017 Q3,"New Commitment","DRIVING",137.92
"543",2017 Q3,"New Commitment","DRUG POSSESSION ONLY",88.23
"544",2017 Q3,"New Commitment","MURDER",735.45
"545",2017 Q3,"New Commitment","OTHER",75.64
"546",2017 Q3,"New Commitment","PERSON",1174.73
"547",2017 Q3,"New Commitment","PROPERTY",848.82
"548",2017 Q3,"New Commitment","SEX OFFENSE",2047.93
"549",2017 Q3,"New Commitment","WEAPONS",85.96
"550",2017 Q3,"Technical Commitment","ALCOHOL & DRUG",69.19
"551",2017 Q3,"Technical Commitment","DRIVING",31.79
"552",2017 Q3,"Technical Commitment","DRUG POSSESSION ONLY",32.22
"553",2017 Q3,"Technical Commitment","MURDER",51.75
"554",2017 Q3,"Technical Commitment","OTHER",15.45
"555",2017 Q3,"Technical Commitment","PERSON",142.31
"556",2017 Q3,"Technical Commitment","PROPERTY",169.99
"557",2017 Q3,"Technical Commitment","SEX OFFENSE",200.97
"558",2017 Q3,"Technical Commitment","WEAPONS",22.77
"559",2017 Q4,"New Commitment","ALCOHOL & DRUG",420.4
"560",2017 Q4,"New Commitment","DRIVING",128.42
"561",2017 Q4,"New Commitment","DRUG POSSESSION ONLY",95.15
"562",2017 Q4,"New Commitment","MURDER",731.54
"563",2017 Q4,"New Commitment","OTHER",78.16
"564",2017 Q4,"New Commitment","PERSON",1185.34
"565",2017 Q4,"New Commitment","PROPERTY",864.1
"566",2017 Q4,"New Commitment","SEX OFFENSE",2040.84
"567",2017 Q4,"New Commitment","WEAPONS",93.05
"568",2017 Q4,"Technical Commitment","ALCOHOL & DRUG",65.21
"569",2017 Q4,"Technical Commitment","DRIVING",37.38
"570",2017 Q4,"Technical Commitment","DRUG POSSESSION ONLY",27.26
"571",2017 Q4,"Technical Commitment","MURDER",51.11
"572",2017 Q4,"Technical Commitment","OTHER",14.36
"573",2017 Q4,"Technical Commitment","PERSON",151.8
"574",2017 Q4,"Technical Commitment","PROPERTY",166.46
"575",2017 Q4,"Technical Commitment","SEX OFFENSE",197.18
"576",2017 Q4,"Technical Commitment","WEAPONS",20.42
"577",2018 Q1,"New Commitment","ALCOHOL & DRUG",442.12
"578",2018 Q1,"New Commitment","DRIVING",135.72
"579",2018 Q1,"New Commitment","DRUG POSSESSION ONLY",106.71
"580",2018 Q1,"New Commitment","MURDER",729.46
"581",2018 Q1,"New Commitment","OTHER",79
"582",2018 Q1,"New Commitment","PERSON",1203.62
"583",2018 Q1,"New Commitment","PROPERTY",903.67
"584",2018 Q1,"New Commitment","SEX OFFENSE",2050.6
"585",2018 Q1,"New Commitment","WEAPONS",88.42
"586",2018 Q1,"Technical Commitment","ALCOHOL & DRUG",58.36
"587",2018 Q1,"Technical Commitment","DRIVING",34.12
"588",2018 Q1,"Technical Commitment","DRUG POSSESSION ONLY",34.23
"589",2018 Q1,"Technical Commitment","MURDER",45.46
"590",2018 Q1,"Technical Commitment","OTHER",13.06
"591",2018 Q1,"Technical Commitment","PERSON",141.61
"592",2018 Q1,"Technical Commitment","PROPERTY",167.52
"593",2018 Q1,"Technical Commitment","SEX OFFENSE",201.38
"594",2018 Q1,"Technical Commitment","WEAPONS",25.34
"595",2018 Q2,"New Commitment","ALCOHOL & DRUG",465.57
"596",2018 Q2,"New Commitment","DRIVING",141
"597",2018 Q2,"New Commitment","DRUG POSSESSION ONLY",112.46
"598",2018 Q2,"New Commitment","MURDER",729.64
"599",2018 Q2,"New Commitment","OTHER",82.31
"600",2018 Q2,"New Commitment","PERSON",1204.05
"601",2018 Q2,"New Commitment","PROPERTY",920.37
"602",2018 Q2,"New Commitment","SEX OFFENSE",2047.35
"603",2018 Q2,"New Commitment","WEAPONS",78.49
"604",2018 Q2,"Technical Commitment","ALCOHOL & DRUG",53.3
"605",2018 Q2,"Technical Commitment","DRIVING",37.36
"606",2018 Q2,"Technical Commitment","DRUG POSSESSION ONLY",33.42
"607",2018 Q2,"Technical Commitment","MURDER",49.27
"608",2018 Q2,"Technical Commitment","OTHER",15.08
"609",2018 Q2,"Technical Commitment","PERSON",129.51
"610",2018 Q2,"Technical Commitment","PROPERTY",158.36
"611",2018 Q2,"Technical Commitment","SEX OFFENSE",197.51
"612",2018 Q2,"Technical Commitment","WEAPONS",17.18
"613",2018 Q3,"New Commitment","ALCOHOL & DRUG",485.88
"614",2018 Q3,"New Commitment","DRIVING",159.09
"615",2018 Q3,"New Commitment","DRUG POSSESSION ONLY",115.37
"616",2018 Q3,"New Commitment","MURDER",734.31
"617",2018 Q3,"New Commitment","OTHER",88.9
"618",2018 Q3,"New Commitment","PERSON",1199.53
"619",2018 Q3,"New Commitment","PROPERTY",927.53
"620",2018 Q3,"New Commitment","SEX OFFENSE",2049.97
"621",2018 Q3,"New Commitment","WEAPONS",82.4
"622",2018 Q3,"Technical Commitment","ALCOHOL & DRUG",59.69
"623",2018 Q3,"Technical Commitment","DRIVING",34.64
"624",2018 Q3,"Technical Commitment","DRUG POSSESSION ONLY",30.52
"625",2018 Q3,"Technical Commitment","MURDER",51.34
"626",2018 Q3,"Technical Commitment","OTHER",15.03
"627",2018 Q3,"Technical Commitment","PERSON",150.27
"628",2018 Q3,"Technical Commitment","PROPERTY",188.34
"629",2018 Q3,"Technical Commitment","SEX OFFENSE",189.59
"630",2018 Q3,"Technical Commitment","WEAPONS",16.59
"631",2018 Q4,"New Commitment","ALCOHOL & DRUG",489.43
"632",2018 Q4,"New Commitment","DRIVING",171.68
"633",2018 Q4,"New Commitment","DRUG POSSESSION ONLY",102.13
"634",2018 Q4,"New Commitment","MURDER",739.47
"635",2018 Q4,"New Commitment","OTHER",91.84
"636",2018 Q4,"New Commitment","PERSON",1184.87
"637",2018 Q4,"New Commitment","PROPERTY",948.37
"638",2018 Q4,"New Commitment","SEX OFFENSE",2039.59
"639",2018 Q4,"New Commitment","WEAPONS",92.2
"640",2018 Q4,"Technical Commitment","ALCOHOL & DRUG",70.84
"641",2018 Q4,"Technical Commitment","DRIVING",40.77
"642",2018 Q4,"Technical Commitment","DRUG POSSESSION ONLY",31.13
"643",2018 Q4,"Technical Commitment","MURDER",48.45
"644",2018 Q4,"Technical Commitment","OTHER",18.32
"645",2018 Q4,"Technical Commitment","PERSON",165.42
"646",2018 Q4,"Technical Commitment","PROPERTY",190.62
"647",2018 Q4,"Technical Commitment","SEX OFFENSE",191.67
"648",2018 Q4,"Technical Commitment","WEAPONS",16.39
"649",2019 Q1,"New Commitment","ALCOHOL & DRUG",488.75
"650",2019 Q1,"New Commitment","DRIVING",168
"651",2019 Q1,"New Commitment","DRUG POSSESSION ONLY",101.69
"652",2019 Q1,"New Commitment","MURDER",742.49
"653",2019 Q1,"New Commitment","OTHER",93
"654",2019 Q1,"New Commitment","PERSON",1186.33
"655",2019 Q1,"New Commitment","PROPERTY",945.58
"656",2019 Q1,"New Commitment","SEX OFFENSE",2054.81
"657",2019 Q1,"New Commitment","WEAPONS",101.1
"658",2019 Q1,"Technical Commitment","ALCOHOL & DRUG",84.48
"659",2019 Q1,"Technical Commitment","DRIVING",42.7
"660",2019 Q1,"Technical Commitment","DRUG POSSESSION ONLY",33.02
"661",2019 Q1,"Technical Commitment","MURDER",41.43
"662",2019 Q1,"Technical Commitment","OTHER",19.01
"663",2019 Q1,"Technical Commitment","PERSON",195.21
"664",2019 Q1,"Technical Commitment","PROPERTY",200.35
"665",2019 Q1,"Technical Commitment","SEX OFFENSE",190.63
"666",2019 Q1,"Technical Commitment","WEAPONS",18.76
"667",2019 Q2,"New Commitment","ALCOHOL & DRUG",483.8
"668",2019 Q2,"New Commitment","DRIVING",157.64
"669",2019 Q2,"New Commitment","DRUG POSSESSION ONLY",100.56
"670",2019 Q2,"New Commitment","MURDER",746.95
"671",2019 Q2,"New Commitment","OTHER",93.48
"672",2019 Q2,"New Commitment","PERSON",1196.99
"673",2019 Q2,"New Commitment","PROPERTY",964.41
"674",2019 Q2,"New Commitment","SEX OFFENSE",2065.16
"675",2019 Q2,"New Commitment","WEAPONS",105.01
"676",2019 Q2,"Technical Commitment","ALCOHOL & DRUG",91.57
"677",2019 Q2,"Technical Commitment","DRIVING",41.42
"678",2019 Q2,"Technical Commitment","DRUG POSSESSION ONLY",28.16
"679",2019 Q2,"Technical Commitment","MURDER",44.98
"680",2019 Q2,"Technical Commitment","OTHER",13
"681",2019 Q2,"Technical Commitment","PERSON",215.01
"682",2019 Q2,"Technical Commitment","PROPERTY",214.13
"683",2019 Q2,"Technical Commitment","SEX OFFENSE",197.72
"684",2019 Q2,"Technical Commitment","WEAPONS",20.13
"685",2019 Q3,"New Commitment","ALCOHOL & DRUG",452.51
"686",2019 Q3,"New Commitment","DRIVING",155.07
"687",2019 Q3,"New Commitment","DRUG POSSESSION ONLY",96.77
"688",2019 Q3,"New Commitment","MURDER",752.68
"689",2019 Q3,"New Commitment","OTHER",94.31
"690",2019 Q3,"New Commitment","PERSON",1210.44
"691",2019 Q3,"New Commitment","PROPERTY",941.91
"692",2019 Q3,"New Commitment","SEX OFFENSE",2065.23
"693",2019 Q3,"New Commitment","WEAPONS",110.16
"694",2019 Q3,"Technical Commitment","ALCOHOL & DRUG",85.58
"695",2019 Q3,"Technical Commitment","DRIVING",39.18
"696",2019 Q3,"Technical Commitment","DRUG POSSESSION ONLY",34.95
"697",2019 Q3,"Technical Commitment","MURDER",43.07
"698",2019 Q3,"Technical Commitment","OTHER",11.86
"699",2019 Q3,"Technical Commitment","PERSON",225.44
"700",2019 Q3,"Technical Commitment","PROPERTY",241.62
"701",2019 Q3,"Technical Commitment","SEX OFFENSE",208.26
"702",2019 Q3,"Technical Commitment","WEAPONS",24.85
"703",2019 Q4,"New Commitment","ALCOHOL & DRUG",451.28
"704",2019 Q4,"New Commitment","DRIVING",145.03
"705",2019 Q4,"New Commitment","DRUG POSSESSION ONLY",95.68
"706",2019 Q4,"New Commitment","MURDER",755.24
"707",2019 Q4,"New Commitment","OTHER",97.7
"708",2019 Q4,"New Commitment","PERSON",1207.51
"709",2019 Q4,"New Commitment","PROPERTY",920.65
"710",2019 Q4,"New Commitment","SEX OFFENSE",2054.46
"711",2019 Q4,"New Commitment","WEAPONS",115.06
"712",2019 Q4,"Technical Commitment","ALCOHOL & DRUG",93.91
"713",2019 Q4,"Technical Commitment","DRIVING",36.77
"714",2019 Q4,"Technical Commitment","DRUG POSSESSION ONLY",31.15
"715",2019 Q4,"Technical Commitment","MURDER",43.3
"716",2019 Q4,"Technical Commitment","OTHER",20.17
"717",2019 Q4,"Technical Commitment","PERSON",239.83
"718",2019 Q4,"Technical Commitment","PROPERTY",237.88
"719",2019 Q4,"Technical Commitment","SEX OFFENSE",215.83
"720",2019 Q4,"Technical Commitment","WEAPONS",16.5
"721",2020 Q1,"New Commitment","ALCOHOL & DRUG",430.54
"722",2020 Q1,"New Commitment","DRIVING",141.39
"723",2020 Q1,"New Commitment","DRUG POSSESSION ONLY",89.56
"724",2020 Q1,"New Commitment","MURDER",750.2
"725",2020 Q1,"New Commitment","OTHER",96.93
"726",2020 Q1,"New Commitment","PERSON",1186.53
"727",2020 Q1,"New Commitment","PROPERTY",864.96
"728",2020 Q1,"New Commitment","SEX OFFENSE",2038.01
"729",2020 Q1,"New Commitment","WEAPONS",119.2
"730",2020 Q1,"Technical Commitment","ALCOHOL & DRUG",94.24
"731",2020 Q1,"Technical Commitment","DRIVING",34.79
"732",2020 Q1,"Technical Commitment","DRUG POSSESSION ONLY",28.89
"733",2020 Q1,"Technical Commitment","MURDER",42
"734",2020 Q1,"Technical Commitment","OTHER",20.91
"735",2020 Q1,"Technical Commitment","PERSON",222.3
"736",2020 Q1,"Technical Commitment","PROPERTY",236.6
"737",2020 Q1,"Technical Commitment","SEX OFFENSE",214.99
"738",2020 Q1,"Technical Commitment","WEAPONS",22.48
"739",2020 Q2,"New Commitment","ALCOHOL & DRUG",341.91
"740",2020 Q2,"New Commitment","DRIVING",123.19
"741",2020 Q2,"New Commitment","DRUG POSSESSION ONLY",74.72
"742",2020 Q2,"New Commitment","MURDER",747.25
"743",2020 Q2,"New Commitment","OTHER",92.94
"744",2020 Q2,"New Commitment","PERSON",1117.45
"745",2020 Q2,"New Commitment","PROPERTY",712.1
"746",2020 Q2,"New Commitment","SEX OFFENSE",1972.77
"747",2020 Q2,"New Commitment","WEAPONS",107.14
"748",2020 Q2,"Technical Commitment","ALCOHOL & DRUG",62.74
"749",2020 Q2,"Technical Commitment","DRIVING",31.45
"750",2020 Q2,"Technical Commitment","DRUG POSSESSION ONLY",17.68
"751",2020 Q2,"Technical Commitment","MURDER",39.31
"752",2020 Q2,"Technical Commitment","OTHER",17.02
"753",2020 Q2,"Technical Commitment","PERSON",164.09
"754",2020 Q2,"Technical Commitment","PROPERTY",172.31
"755",2020 Q2,"Technical Commitment","SEX OFFENSE",192.9
"756",2020 Q2,"Technical Commitment","WEAPONS",20.11
"757",2020 Q3,"New Commitment","ALCOHOL & DRUG",314.81
"758",2020 Q3,"New Commitment","DRIVING",113.95
"759",2020 Q3,"New Commitment","DRUG POSSESSION ONLY",59.79
"760",2020 Q3,"New Commitment","MURDER",745.95
"761",2020 Q3,"New Commitment","OTHER",74.27
"762",2020 Q3,"New Commitment","PERSON",1082.1
"763",2020 Q3,"New Commitment","PROPERTY",607.14
"764",2020 Q3,"New Commitment","SEX OFFENSE",1924.34
"765",2020 Q3,"New Commitment","WEAPONS",102.78
"766",2020 Q3,"Technical Commitment","ALCOHOL & DRUG",59.2
"767",2020 Q3,"Technical Commitment","DRIVING",28.21
"768",2020 Q3,"Technical Commitment","DRUG POSSESSION ONLY",14.9
"769",2020 Q3,"Technical Commitment","MURDER",39.48
"770",2020 Q3,"Technical Commitment","OTHER",11.54
"771",2020 Q3,"Technical Commitment","PERSON",172.8
"772",2020 Q3,"Technical Commitment","PROPERTY",148.29
"773",2020 Q3,"Technical Commitment","SEX OFFENSE",182.83
"774",2020 Q3,"Technical Commitment","WEAPONS",15.7
"775",2020 Q4,"New Commitment","ALCOHOL & DRUG",325.67
"776",2020 Q4,"New Commitment","DRIVING",97.87
"777",2020 Q4,"New Commitment","DRUG POSSESSION ONLY",49.22
"778",2020 Q4,"New Commitment","MURDER",732.44
"779",2020 Q4,"New Commitment","OTHER",57.64
"780",2020 Q4,"New Commitment","PERSON",1051.83
"781",2020 Q4,"New Commitment","PROPERTY",560.11
"782",2020 Q4,"New Commitment","SEX OFFENSE",1854.1
"783",2020 Q4,"New Commitment","WEAPONS",99.28
"784",2020 Q4,"Technical Commitment","ALCOHOL & DRUG",69.64
"785",2020 Q4,"Technical Commitment","DRIVING",28.55
"786",2020 Q4,"Technical Commitment","DRUG POSSESSION ONLY",22.11
"787",2020 Q4,"Technical Commitment","MURDER",43.12
"788",2020 Q4,"Technical Commitment","OTHER",17.66
"789",2020 Q4,"Technical Commitment","PERSON",184.37
"790",2020 Q4,"Technical Commitment","PROPERTY",182
"791",2020 Q4,"Technical Commitment","SEX OFFENSE",174.36
"792",2020 Q4,"Technical Commitment","WEAPONS",15.34
"793",2021 Q1,"New Commitment","ALCOHOL & DRUG",335.95
"794",2021 Q1,"New Commitment","DRIVING",97.87
"795",2021 Q1,"New Commitment","DRUG POSSESSION ONLY",44.1
"796",2021 Q1,"New Commitment","MURDER",719.87
"797",2021 Q1,"New Commitment","OTHER",52.48
"798",2021 Q1,"New Commitment","PERSON",1037.99
"799",2021 Q1,"New Commitment","PROPERTY",567.67
"800",2021 Q1,"New Commitment","SEX OFFENSE",1781.8
"801",2021 Q1,"New Commitment","WEAPONS",90.78
"802",2021 Q1,"Technical Commitment","ALCOHOL & DRUG",79.12
"803",2021 Q1,"Technical Commitment","DRIVING",25.23
"804",2021 Q1,"Technical Commitment","DRUG POSSESSION ONLY",26.36
"805",2021 Q1,"Technical Commitment","MURDER",44.35
"806",2021 Q1,"Technical Commitment","OTHER",25.09
"807",2021 Q1,"Technical Commitment","PERSON",205.35
"808",2021 Q1,"Technical Commitment","PROPERTY",208.68
"809",2021 Q1,"Technical Commitment","SEX OFFENSE",179.27
"810",2021 Q1,"Technical Commitment","WEAPONS",20.19
"811",2021 Q2,"New Commitment","ALCOHOL & DRUG",371.32
"812",2021 Q2,"New Commitment","DRIVING",96.3
"813",2021 Q2,"New Commitment","DRUG POSSESSION ONLY",44.27
"814",2021 Q2,"New Commitment","MURDER",712.54
"815",2021 Q2,"New Commitment","OTHER",51.77
"816",2021 Q2,"New Commitment","PERSON",1047.59
"817",2021 Q2,"New Commitment","PROPERTY",576.42
"818",2021 Q2,"New Commitment","SEX OFFENSE",1761.34
"819",2021 Q2,"New Commitment","WEAPONS",85.22
"820",2021 Q2,"Technical Commitment","ALCOHOL & DRUG",94.46
"821",2021 Q2,"Technical Commitment","DRIVING",37.79
"822",2021 Q2,"Technical Commitment","DRUG POSSESSION ONLY",27.7
"823",2021 Q2,"Technical Commitment","MURDER",42.41
"824",2021 Q2,"Technical Commitment","OTHER",30.62
"825",2021 Q2,"Technical Commitment","PERSON",254.71
"826",2021 Q2,"Technical Commitment","PROPERTY",236.04
"827",2021 Q2,"Technical Commitment","SEX OFFENSE",195.33
"828",2021 Q2,"Technical Commitment","WEAPONS",29.44
"829",2021 Q3,"New Commitment","ALCOHOL & DRUG",378.14
"830",2021 Q3,"New Commitment","DRIVING",101.63
"831",2021 Q3,"New Commitment","DRUG POSSESSION ONLY",39.08
"832",2021 Q3,"New Commitment","MURDER",707.58
"833",2021 Q3,"New Commitment","OTHER",53.81
"834",2021 Q3,"New Commitment","PERSON",1081.72
"835",2021 Q3,"New Commitment","PROPERTY",599.57
"836",2021 Q3,"New Commitment","SEX OFFENSE",1765.64
"837",2021 Q3,"New Commitment","WEAPONS",87.04
"838",2021 Q3,"Technical Commitment","ALCOHOL & DRUG",112.5
"839",2021 Q3,"Technical Commitment","DRIVING",42.67
"840",2021 Q3,"Technical Commitment","DRUG POSSESSION ONLY",30.04
"841",2021 Q3,"Technical Commitment","MURDER",48.92
"842",2021 Q3,"Technical Commitment","OTHER",43.32
"843",2021 Q3,"Technical Commitment","PERSON",287.1
"844",2021 Q3,"Technical Commitment","PROPERTY",252.43
"845",2021 Q3,"Technical Commitment","SEX OFFENSE",210.15
"846",2021 Q3,"Technical Commitment","WEAPONS",29.76
"847",2021 Q4,"New Commitment","ALCOHOL & DRUG",375.55
"848",2021 Q4,"New Commitment","DRIVING",102.35
"849",2021 Q4,"New Commitment","DRUG POSSESSION ONLY",38.29
"850",2021 Q4,"New Commitment","MURDER",712.55
"851",2021 Q4,"New Commitment","OTHER",60.95
"852",2021 Q4,"New Commitment","PERSON",1082.38
"853",2021 Q4,"New Commitment","PROPERTY",611.1
"854",2021 Q4,"New Commitment","SEX OFFENSE",1783.59
"855",2021 Q4,"New Commitment","WEAPONS",102.41
"856",2021 Q4,"Technical Commitment","ALCOHOL & DRUG",116.56
"857",2021 Q4,"Technical Commitment","DRIVING",44.63
"858",2021 Q4,"Technical Commitment","DRUG POSSESSION ONLY",29.07
"859",2021 Q4,"Technical Commitment","MURDER",43.33
"860",2021 Q4,"Technical Commitment","OTHER",38.18
"861",2021 Q4,"Technical Commitment","PERSON",271.76
"862",2021 Q4,"Technical Commitment","PROPERTY",268.81
"863",2021 Q4,"Technical Commitment","SEX OFFENSE",218.88
"864",2021 Q4,"Technical Commitment","WEAPONS",29.9
"865",2022 Q1,"New Commitment","ALCOHOL & DRUG",367.37
"866",2022 Q1,"New Commitment","DRIVING",102.32
"867",2022 Q1,"New Commitment","DRUG POSSESSION ONLY",39.44
"868",2022 Q1,"New Commitment","MURDER",717.12
"869",2022 Q1,"New Commitment","OTHER",58.17
"870",2022 Q1,"New Commitment","PERSON",1081.15
"871",2022 Q1,"New Commitment","PROPERTY",581.88
"872",2022 Q1,"New Commitment","SEX OFFENSE",1796.38
"873",2022 Q1,"New Commitment","WEAPONS",110.89
"874",2022 Q1,"Technical Commitment","ALCOHOL & DRUG",110.5
"875",2022 Q1,"Technical Commitment","DRIVING",46.39
"876",2022 Q1,"Technical Commitment","DRUG POSSESSION ONLY",34.93
"877",2022 Q1,"Technical Commitment","MURDER",43.23
"878",2022 Q1,"Technical Commitment","OTHER",27.05
"879",2022 Q1,"Technical Commitment","PERSON",273.8
"880",2022 Q1,"Technical Commitment","PROPERTY",256.27
"881",2022 Q1,"Technical Commitment","SEX OFFENSE",233.3
"882",2022 Q1,"Technical Commitment","WEAPONS",26.06
"883",2022 Q2,"New Commitment","ALCOHOL & DRUG",364.19
"884",2022 Q2,"New Commitment","DRIVING",104.33
"885",2022 Q2,"New Commitment","DRUG POSSESSION ONLY",53.85
"886",2022 Q2,"New Commitment","MURDER",722.06
"887",2022 Q2,"New Commitment","OTHER",64.96
"888",2022 Q2,"New Commitment","PERSON",1068.43
"889",2022 Q2,"New Commitment","PROPERTY",555.75
"890",2022 Q2,"New Commitment","SEX OFFENSE",1808.8
"891",2022 Q2,"New Commitment","WEAPONS",102.63
"892",2022 Q2,"Technical Commitment","ALCOHOL & DRUG",101.93
"893",2022 Q2,"Technical Commitment","DRIVING",47.97
"894",2022 Q2,"Technical Commitment","DRUG POSSESSION ONLY",36.02
"895",2022 Q2,"Technical Commitment","MURDER",46.31
"896",2022 Q2,"Technical Commitment","OTHER",23.47
"897",2022 Q2,"Technical Commitment","PERSON",278.76
"898",2022 Q2,"Technical Commitment","PROPERTY",251.45
"899",2022 Q2,"Technical Commitment","SEX OFFENSE",218.73
"900",2022 Q2,"Technical Commitment","WEAPONS",30.44
"901",2022 Q3,"New Commitment","ALCOHOL & DRUG",348.17
"902",2022 Q3,"New Commitment","DRIVING",116.14
"903",2022 Q3,"New Commitment","DRUG POSSESSION ONLY",50.76
"904",2022 Q3,"New Commitment","MURDER",731.38
"905",2022 Q3,"New Commitment","OTHER",65.52
"906",2022 Q3,"New Commitment","PERSON",1100.25
"907",2022 Q3,"New Commitment","PROPERTY",546.65
"908",2022 Q3,"New Commitment","SEX OFFENSE",1832.46
"909",2022 Q3,"New Commitment","WEAPONS",105.6
"910",2022 Q3,"Technical Commitment","ALCOHOL & DRUG",114.69
"911",2022 Q3,"Technical Commitment","DRIVING",49.69
"912",2022 Q3,"Technical Commitment","DRUG POSSESSION ONLY",31.24
"913",2022 Q3,"Technical Commitment","MURDER",45.1
"914",2022 Q3,"Technical Commitment","OTHER",25.8
"915",2022 Q3,"Technical Commitment","PERSON",276.61
"916",2022 Q3,"Technical Commitment","PROPERTY",254.19
"917",2022 Q3,"Technical Commitment","SEX OFFENSE",210.7
