"","Quarter_Year","admin_type","top_ofnse_typ_desc","Count"
"92",2011 Q2,"New Commitment","DRIVING",284.43
"93",2011 Q2,"New Commitment","DRUG POSSESSION ONLY",235.61
"94",2011 Q2,"New Commitment","MURDER",632.82
"95",2011 Q2,"New Commitment","OTHER",91.17
"96",2011 Q2,"New Commitment","PERSON",1133.15
"97",2011 Q2,"New Commitment","PROPERTY",1308.27
"98",2011 Q2,"New Commitment","SEX OFFENSE",1903.99
"99",2011 Q2,"New Commitment","WEAPONS",69.21
"100",2011 Q2,"Technical Commitment","ALCOHOL & DRUG",59.1
"101",2011 Q2,"Technical Commitment","DRIVING",36.73
"102",2011 Q2,"Technical Commitment","DRUG POSSESSION ONLY",47.39
"103",2011 Q2,"Technical Commitment","MURDER",39.81
"104",2011 Q2,"Technical Commitment","OTHER",12.87
"105",2011 Q2,"Technical Commitment","PERSON",120.52
"106",2011 Q2,"Technical Commitment","PROPERTY",140.35
"107",2011 Q2,"Technical Commitment","SEX OFFENSE",192.22
"108",2011 Q2,"Technical Commitment","WEAPONS",6.95
"109",2011 Q3,"New Commitment","ALCOHOL & DRUG",493.21
"110",2011 Q3,"New Commitment","DRIVING",267.31
"111",2011 Q3,"New Commitment","DRUG POSSESSION ONLY",240.28
"112",2011 Q3,"New Commitment","MURDER",640.57
"113",2011 Q3,"New Commitment","OTHER",86.67
"114",2011 Q3,"New Commitment","PERSON",1139.78
"115",2011 Q3,"New Commitment","PROPERTY",1285.57
"116",2011 Q3,"New Commitment","SEX OFFENSE",1926.97
"117",2011 Q3,"New Commitment","WEAPONS",67.49
"118",2011 Q3,"Technical Commitment","ALCOHOL & DRUG",52.41
"119",2011 Q3,"Technical Commitment","DRIVING",38.1
"120",2011 Q3,"Technical Commitment","DRUG POSSESSION ONLY",36.26
"121",2011 Q3,"Technical Commitment","MURDER",38.53
"122",2011 Q3,"Technical Commitment","OTHER",13.84
"123",2011 Q3,"Technical Commitment","PERSON",110.21
"124",2011 Q3,"Technical Commitment","PROPERTY",148.74
"125",2011 Q3,"Technical Commitment","SEX OFFENSE",189.8
"126",2011 Q3,"Technical Commitment","WEAPONS",7.22
"127",2011 Q4,"New Commitment","ALCOHOL & DRUG",495.17
"128",2011 Q4,"New Commitment","DRIVING",249.36
"129",2011 Q4,"New Commitment","DRUG POSSESSION ONLY",242.71
"130",2011 Q4,"New Commitment","MURDER",646.76
"131",2011 Q4,"New Commitment","OTHER",90.16
"132",2011 Q4,"New Commitment","PERSON",1156.08
"133",2011 Q4,"New Commitment","PROPERTY",1299.17
"134",2011 Q4,"New Commitment","SEX OFFENSE",1937.79
"135",2011 Q4,"New Commitment","WEAPONS",66.08
"136",2011 Q4,"Technical Commitment","ALCOHOL & DRUG",62.1
"137",2011 Q4,"Technical Commitment","DRIVING",37.37
"138",2011 Q4,"Technical Commitment","DRUG POSSESSION ONLY",37.04
"139",2011 Q4,"Technical Commitment","MURDER",39.71
"140",2011 Q4,"Technical Commitment","OTHER",11.74
"141",2011 Q4,"Technical Commitment","PERSON",106.19
"142",2011 Q4,"Technical Commitment","PROPERTY",155.62
"143",2011 Q4,"Technical Commitment","SEX OFFENSE",184.69
"144",2011 Q4,"Technical Commitment","WEAPONS",9.77
"145",2012 Q1,"New Commitment","ALCOHOL & DRUG",498.25
"146",2012 Q1,"New Commitment","DRIVING",242.34
"147",2012 Q1,"New Commitment","DRUG POSSESSION ONLY",246.87
"148",2012 Q1,"New Commitment","MURDER",649.16
"149",2012 Q1,"New Commitment","OTHER",88.07
"150",2012 Q1,"New Commitment","PERSON",1161.19
"151",2012 Q1,"New Commitment","PROPERTY",1318.66
"152",2012 Q1,"New Commitment","SEX OFFENSE",1952.24
"153",2012 Q1,"New Commitment","WEAPONS",64.46
"154",2012 Q1,"Technical Commitment","ALCOHOL & DRUG",58.69
"155",2012 Q1,"Technical Commitment","DRIVING",37.47
"156",2012 Q1,"Technical Commitment","DRUG POSSESSION ONLY",42.53
"157",2012 Q1,"Technical Commitment","MURDER",40.82
"158",2012 Q1,"Technical Commitment","OTHER",11.85
"159",2012 Q1,"Technical Commitment","PERSON",104.08
"160",2012 Q1,"Technical Commitment","PROPERTY",162.42
"161",2012 Q1,"Technical Commitment","SEX OFFENSE",182.52
"162",2012 Q1,"Technical Commitment","WEAPONS",14.51
"163",2012 Q2,"New Commitment","ALCOHOL & DRUG",502.88
"164",2012 Q2,"New Commitment","DRIVING",247.77
"165",2012 Q2,"New Commitment","DRUG POSSESSION ONLY",256.27
"166",2012 Q2,"New Commitment","MURDER",657.28
"167",2012 Q2,"New Commitment","OTHER",81.5
"168",2012 Q2,"New Commitment","PERSON",1142.91
"169",2012 Q2,"New Commitment","PROPERTY",1300.93
"170",2012 Q2,"New Commitment","SEX OFFENSE",1961.94
"171",2012 Q2,"New Commitment","WEAPONS",61.56
"172",2012 Q2,"Technical Commitment","ALCOHOL & DRUG",58.47
"173",2012 Q2,"Technical Commitment","DRIVING",40.69
"174",2012 Q2,"Technical Commitment","DRUG POSSESSION ONLY",43.41
"175",2012 Q2,"Technical Commitment","MURDER",44.06
"176",2012 Q2,"Technical Commitment","OTHER",14.63
"177",2012 Q2,"Technical Commitment","PERSON",106.56
"178",2012 Q2,"Technical Commitment","PROPERTY",153
"179",2012 Q2,"Technical Commitment","SEX OFFENSE",179.61
"180",2012 Q2,"Technical Commitment","WEAPONS",14.44
"181",2012 Q3,"New Commitment","ALCOHOL & DRUG",502.61
"182",2012 Q3,"New Commitment","DRIVING",240.09
"183",2012 Q3,"New Commitment","DRUG POSSESSION ONLY",265.46
"184",2012 Q3,"New Commitment","MURDER",659.71
"185",2012 Q3,"New Commitment","OTHER",83.41
"186",2012 Q3,"New Commitment","PERSON",1137.51
"187",2012 Q3,"New Commitment","PROPERTY",1283.57
