"","Quarter_Year","gender","top_ofnse_typ_desc","Count"
"110",2011 Q3,"F","DRIVING",23.02
"111",2011 Q3,"F","DRUG POSSESSION ONLY",60.35
"112",2011 Q3,"F","MURDER",41.95
"113",2011 Q3,"F","OTHER",10.38
"114",2011 Q3,"F","PERSON",93.16
"115",2011 Q3,"F","PROPERTY",214.71
"116",2011 Q3,"F","SEX OFFENSE",36.71
"117",2011 Q3,"M","ALCOHOL & DRUG",453.36
"118",2011 Q3,"M","DRIVING",282.39
"119",2011 Q3,"M","DRUG POSSESSION ONLY",216.19
"120",2011 Q3,"M","MURDER",637.15
"121",2011 Q3,"M","OTHER",90.13
"122",2011 Q3,"M","PERSON",1156.83
"123",2011 Q3,"M","PROPERTY",1219.6
"124",2011 Q3,"M","SEX OFFENSE",2080.06
"125",2011 Q3,"M","WEAPONS",74.71
"126",2011 Q4,"F","ALCOHOL & DRUG",91.48
"127",2011 Q4,"F","DRIVING",22.99
"128",2011 Q4,"F","DRUG POSSESSION ONLY",65
"129",2011 Q4,"F","MURDER",42.58
"130",2011 Q4,"F","OTHER",9.38
"131",2011 Q4,"F","PERSON",92.8
"132",2011 Q4,"F","PROPERTY",221
"133",2011 Q4,"F","SEX OFFENSE",36.37
"134",2011 Q4,"M","ALCOHOL & DRUG",465.79
"135",2011 Q4,"M","DRIVING",263.74
"136",2011 Q4,"M","DRUG POSSESSION ONLY",214.75
"137",2011 Q4,"M","MURDER",643.89
"138",2011 Q4,"M","OTHER",92.52
"139",2011 Q4,"M","PERSON",1169.47
"140",2011 Q4,"M","PROPERTY",1233.79
"141",2011 Q4,"M","SEX OFFENSE",2086.11
"142",2011 Q4,"M","WEAPONS",75.85
"143",2012 Q1,"F","ALCOHOL & DRUG",89.76
"144",2012 Q1,"F","DRIVING",21.23
"145",2012 Q1,"F","DRUG POSSESSION ONLY",69.12
"146",2012 Q1,"F","MURDER",40.37
"147",2012 Q1,"F","OTHER",10.75
"148",2012 Q1,"F","PERSON",99.37
"149",2012 Q1,"F","PROPERTY",241.25
"150",2012 Q1,"F","SEX OFFENSE",38.54
"151",2012 Q1,"F","WEAPONS",1
"152",2012 Q1,"M","ALCOHOL & DRUG",467.18
"153",2012 Q1,"M","DRIVING",258.58
"154",2012 Q1,"M","DRUG POSSESSION ONLY",220.28
"155",2012 Q1,"M","MURDER",649.61
"156",2012 Q1,"M","OTHER",89.17
"157",2012 Q1,"M","PERSON",1165.9
"158",2012 Q1,"M","PROPERTY",1239.83
"159",2012 Q1,"M","SEX OFFENSE",2096.22
"160",2012 Q1,"M","WEAPONS",77.97
"161",2012 Q2,"F","ALCOHOL & DRUG",87.38
"162",2012 Q2,"F","DRIVING",19.99
"163",2012 Q2,"F","DRUG POSSESSION ONLY",68.38
"164",2012 Q2,"F","MURDER",41.79
"165",2012 Q2,"F","OTHER",13.56
"166",2012 Q2,"F","PERSON",108.36
"167",2012 Q2,"F","PROPERTY",229.24
"168",2012 Q2,"F","SEX OFFENSE",40.1
"169",2012 Q2,"F","WEAPONS",1
"170",2012 Q2,"M","ALCOHOL & DRUG",473.97
"171",2012 Q2,"M","DRIVING",268.47
"172",2012 Q2,"M","DRUG POSSESSION ONLY",231.3
"173",2012 Q2,"M","MURDER",659.55
"174",2012 Q2,"M","OTHER",82.57
"175",2012 Q2,"M","PERSON",1141.11
"176",2012 Q2,"M","PROPERTY",1224.69
"177",2012 Q2,"M","SEX OFFENSE",2101.45
"178",2012 Q2,"M","WEAPONS",75
"179",2012 Q3,"F","ALCOHOL & DRUG",94.52
"180",2012 Q3,"F","DRIVING",23.09
"181",2012 Q3,"F","DRUG POSSESSION ONLY",73.25
"182",2012 Q3,"F","MURDER",43.85
"183",2012 Q3,"F","OTHER",13.27
"184",2012 Q3,"F","PERSON",111.13
"185",2012 Q3,"F","PROPERTY",221.57
"186",2012 Q3,"F","SEX OFFENSE",39.34
"187",2012 Q3,"F","WEAPONS",1
"188",2012 Q3,"M","ALCOHOL & DRUG",473.69
"189",2012 Q3,"M","DRIVING",264.85
"190",2012 Q3,"M","DRUG POSSESSION ONLY",231.11
"191",2012 Q3,"M","MURDER",658.88
"192",2012 Q3,"M","OTHER",81.46
"193",2012 Q3,"M","PERSON",1141.95
"194",2012 Q3,"M","PROPERTY",1215.62
