"Quarter_Year","Male_Count","Female_Count","Total_Count","Male_Proportion","Female_Proportion","Type"
2025 Q4,6022.17172685472,458.81665683871,6480.98838369343,92.9205758493084,7.0794241506916,"Projected"
2026 Q1,6047.35393835816,462.06241373094,6509.4163520891,92.9016306725772,7.09836932742285,"Projected"
2026 Q2,6072.59558953747,465.308170623171,6537.90376016064,92.8829149572594,7.11708504274064,"Projected"
2026 Q3,6097.89679851684,468.553927515401,6566.45072603224,92.8644263535269,7.13557364647315,"Projected"
2026 Q4,6123.2576836362,471.799684407632,6595.05736804384,92.8461625414553,7.1538374585447,"Projected"
2027 Q1,6148.67836345164,475.045441299862,6623.7238047515,92.8281212305518,7.17187876944825,"Projected"
2027 Q2,6174.1589567357,478.291198192093,6652.45015492779,92.8103001592909,7.18969984070906,"Projected"
2027 Q3,6199.69958247784,481.536955084324,6681.23653756216,92.7926970946605,7.20730290533953,"Projected"
2027 Q4,6225.30035988475,484.782711976554,6710.0830718613,92.7753098317145,7.22469016828552,"Projected"
2028 Q1,6250.96140838076,488.028468868785,6738.98987724955,92.7581361931357,7.24186380686432,"Projected"
2028 Q2,6276.68284760821,491.274225761015,6767.95707336922,92.7411740288056,7.25882597119443,"Projected"
2028 Q3,6302.46479742782,494.519982653246,6796.98478008106,92.7244212153827,7.27557878461732,"Projected"
2028 Q4,6328.30737791908,497.765739545476,6826.07311746456,92.7078756558886,7.29212434411139,"Projected"
2029 Q1,6354.21070938063,501.011496437707,6855.22220581834,92.6915352793017,7.30846472069827,"Projected"
2029 Q2,6380.17491233063,504.257253329938,6884.43216566057,92.6753980401584,7.32460195984158,"Projected"
2029 Q3,6406.20010750715,507.503010222168,6913.70311772931,92.6594619181616,7.34053808183839,"Projected"
2029 Q4,6432.28641586855,510.748767114399,6943.03518298295,92.6437249177965,7.35627508220353,"Projected"
