"","Quarter_Year","gender","top_ofnse_typ_desc","admin_type","count"
"1270",2016 Q4,"F","PROPERTY","Technical Commitment",16.46
"1271",2016 Q4,"F","SEX OFFENSE","New Commitment",45.13
"1272",2016 Q4,"F","SEX OFFENSE","Technical Commitment",1.26
"1273",2016 Q4,"F","WEAPONS","New Commitment",1.71
"1274",2016 Q4,"M","OTHER","New Commitment",4
"1275",2016 Q4,"M","ALCOHOL & DRUG","New Commitment",342.61
"1276",2016 Q4,"M","ALCOHOL & DRUG","Technical Commitment",2
"1277",2016 Q4,"M","ALCOHOL & DRUG","Technical Commitment",54.88
"1278",2016 Q4,"M","DRIVING","New Commitment",136.39
"1279",2016 Q4,"M","DRIVING","Technical Commitment",33.27
"1280",2016 Q4,"M","DRUG POSSESSION ONLY","New Commitment",95.14
"1281",2016 Q4,"M","DRUG POSSESSION ONLY","Technical Commitment",26.49
"1282",2016 Q4,"M","MURDER","New Commitment",664.39
"1283",2016 Q4,"M","MURDER","Technical Commitment",25.46
"1284",2016 Q4,"M","MURDER","Technical Commitment",17.95
"1285",2016 Q4,"M","OTHER","New Commitment",59.58
"1286",2016 Q4,"M","OTHER","Technical Commitment",12.72
"1287",2016 Q4,"M","PERSON","New Commitment",1053.38
"1288",2016 Q4,"M","PERSON","Technical Commitment",4.8
"1289",2016 Q4,"M","PERSON","Technical Commitment",137.15
"1290",2016 Q4,"M","PROPERTY","New Commitment",772.28
"1291",2016 Q4,"M","PROPERTY","Technical Commitment",125.28
"1292",2016 Q4,"M","SEX OFFENSE","New Commitment",16.16
"1293",2016 Q4,"M","SEX OFFENSE","Technical Commitment",1
"1294",2016 Q4,"M","SEX OFFENSE","New Commitment",1951.03
"1295",2016 Q4,"M","SEX OFFENSE","Technical Commitment",13
"1296",2016 Q4,"M","SEX OFFENSE","Technical Commitment",175.71
"1297",2016 Q4,"M","WEAPONS","New Commitment",79.45
"1298",2016 Q4,"M","WEAPONS","Technical Commitment",10.1
"1299",2017 Q1,"F","ALCOHOL & DRUG","New Commitment",56.14
"1300",2017 Q1,"F","ALCOHOL & DRUG","Technical Commitment",7.36
"1301",2017 Q1,"F","DRIVING","New Commitment",8.27
"1302",2017 Q1,"F","DRIVING","Technical Commitment",1
"1303",2017 Q1,"F","DRUG POSSESSION ONLY","New Commitment",29.66
"1304",2017 Q1,"F","DRUG POSSESSION ONLY","Technical Commitment",4.07
"1305",2017 Q1,"F","MURDER","New Commitment",50.19
"1306",2017 Q1,"F","MURDER","Technical Commitment",1
"1307",2017 Q1,"F","MURDER","Technical Commitment",4
"1308",2017 Q1,"F","OTHER","New Commitment",5.48
"1309",2017 Q1,"F","OTHER","Technical Commitment",4.21
"1310",2017 Q1,"F","PERSON","New Commitment",81.09
"1311",2017 Q1,"F","PERSON","Technical Commitment",7.98
"1312",2017 Q1,"F","PROPERTY","New Commitment",89.31
"1313",2017 Q1,"F","PROPERTY","Technical Commitment",16.86
"1314",2017 Q1,"F","SEX OFFENSE","New Commitment",45.63
"1315",2017 Q1,"F","SEX OFFENSE","Technical Commitment",2
"1316",2017 Q1,"F","WEAPONS","New Commitment",2.21
"1317",2017 Q1,"F","WEAPONS","Technical Commitment",1.55
"1318",2017 Q1,"M","OTHER","New Commitment",4
"1319",2017 Q1,"M","ALCOHOL & DRUG","New Commitment",325.79
"1320",2017 Q1,"M","ALCOHOL & DRUG","Technical Commitment",1.03
"1321",2017 Q1,"M","ALCOHOL & DRUG","Technical Commitment",58.47
"1322",2017 Q1,"M","DRIVING","New Commitment",144.48
"1323",2017 Q1,"M","DRIVING","Technical Commitment",33.74
"1324",2017 Q1,"M","DRUG POSSESSION ONLY","New Commitment",70.53
"1325",2017 Q1,"M","DRUG POSSESSION ONLY","Technical Commitment",25.5
"1326",2017 Q1,"M","MURDER","New Commitment",674
"1327",2017 Q1,"M","MURDER","Technical Commitment",26
"1328",2017 Q1,"M","MURDER","Technical Commitment",15.53
"1329",2017 Q1,"M","OTHER","New Commitment",55.81
"1330",2017 Q1,"M","OTHER","Technical Commitment",12.12
"1331",2017 Q1,"M","PERSON","New Commitment",1064.17
"1332",2017 Q1,"M","PERSON","Technical Commitment",4
"1333",2017 Q1,"M","PERSON","Technical Commitment",131.54
"1334",2017 Q1,"M","PROPERTY","New Commitment",756.57
"1335",2017 Q1,"M","PROPERTY","Technical Commitment",123.53
"1336",2017 Q1,"M","SEX OFFENSE","New Commitment",15.66
"1337",2017 Q1,"M","SEX OFFENSE","Technical Commitment",1.64
"1338",2017 Q1,"M","SEX OFFENSE","New Commitment",1968.13
"1339",2017 Q1,"M","SEX OFFENSE","Technical Commitment",13
"1340",2017 Q1,"M","SEX OFFENSE","Technical Commitment",176.81
"1341",2017 Q1,"M","WEAPONS","New Commitment",76.61
"1342",2017 Q1,"M","WEAPONS","Technical Commitment",10.93
"1343",2017 Q2,"F","ALCOHOL & DRUG","New Commitment",64.54
"1344",2017 Q2,"F","ALCOHOL & DRUG","Technical Commitment",5.36
"1345",2017 Q2,"F","DRIVING","New Commitment",11.03
"1346",2017 Q2,"F","DRIVING","Technical Commitment",1
"1347",2017 Q2,"F","DRUG POSSESSION ONLY","New Commitment",27.93
"1348",2017 Q2,"F","DRUG POSSESSION ONLY","Technical Commitment",7.36
"1349",2017 Q2,"F","MURDER","New Commitment",53.08
"1350",2017 Q2,"F","MURDER","Technical Commitment",1
"1351",2017 Q2,"F","MURDER","Technical Commitment",4
"1352",2017 Q2,"F","OTHER","New Commitment",10.14
"1353",2017 Q2,"F","OTHER","Technical Commitment",2.9
"1354",2017 Q2,"F","PERSON","New Commitment",77.59
"1355",2017 Q2,"F","PERSON","Technical Commitment",10.65
"1356",2017 Q2,"F","PROPERTY","New Commitment",97.64
"1357",2017 Q2,"F","PROPERTY","Technical Commitment",21.18
"1358",2017 Q2,"F","SEX OFFENSE","New Commitment",46.15
"1359",2017 Q2,"F","SEX OFFENSE","Technical Commitment",2
"1360",2017 Q2,"F","WEAPONS","New Commitment",1.51
"1361",2017 Q2,"F","WEAPONS","Technical Commitment",2.18
"1362",2017 Q2,"M","OTHER","New Commitment",4
"1363",2017 Q2,"M","ALCOHOL & DRUG","New Commitment",345.74
"1364",2017 Q2,"M","ALCOHOL & DRUG","Technical Commitment",1
"1365",2017 Q2,"M","ALCOHOL & DRUG","Technical Commitment",61.67
"1366",2017 Q2,"M","DRIVING","New Commitment",141.57
"1367",2017 Q2,"M","DRIVING","Technical Commitment",37.59
"1368",2017 Q2,"M","DRUG POSSESSION ONLY","New Commitment",63.31
"1369",2017 Q2,"M","DRUG POSSESSION ONLY","Technical Commitment",29.8
"1370",2017 Q2,"M","MURDER","New Commitment",685.27
"1371",2017 Q2,"M","MURDER","Technical Commitment",26
"1372",2017 Q2,"M","MURDER","Technical Commitment",19.57
"1373",2017 Q2,"M","OTHER","New Commitment",56.58
"1374",2017 Q2,"M","OTHER","Technical Commitment",14.08
"1375",2017 Q2,"M","PERSON","New Commitment",1085.62
"1376",2017 Q2,"M","PERSON","Technical Commitment",4
"1377",2017 Q2,"M","PERSON","Technical Commitment",127.68
"1378",2017 Q2,"M","PROPERTY","New Commitment",746.36
"1379",2017 Q2,"M","PROPERTY","Technical Commitment",135.74
"1380",2017 Q2,"M","SEX OFFENSE","New Commitment",15.96
"1381",2017 Q2,"M","SEX OFFENSE","Technical Commitment",1.74
"1382",2017 Q2,"M","SEX OFFENSE","New Commitment",1981.32
"1383",2017 Q2,"M","SEX OFFENSE","Technical Commitment",13
"1384",2017 Q2,"M","SEX OFFENSE","Technical Commitment",178.69
"1385",2017 Q2,"M","WEAPONS","New Commitment",75.99
"1386",2017 Q2,"M","WEAPONS","Technical Commitment",17.81
"1387",2017 Q3,"F","ALCOHOL & DRUG","New Commitment",64.34
"1388",2017 Q3,"F","ALCOHOL & DRUG","Technical Commitment",11.87
"1389",2017 Q3,"F","DRIVING","New Commitment",12.39
"1390",2017 Q3,"F","DRUG POSSESSION ONLY","New Commitment",22.07
"1391",2017 Q3,"F","DRUG POSSESSION ONLY","Technical Commitment",8.1
"1392",2017 Q3,"F","MURDER","New Commitment",53.04
"1393",2017 Q3,"F","MURDER","Technical Commitment",1
"1394",2017 Q3,"F","MURDER","Technical Commitment",4
"1395",2017 Q3,"F","OTHER","New Commitment",15.34
"1396",2017 Q3,"F","OTHER","Technical Commitment",3.38
"1397",2017 Q3,"F","PERSON","New Commitment",80.2
"1398",2017 Q3,"F","PERSON","Technical Commitment",12.85
"1399",2017 Q3,"F","PROPERTY","New Commitment",109.5
"1400",2017 Q3,"F","PROPERTY","Technical Commitment",23.64
"1401",2017 Q3,"F","SEX OFFENSE","New Commitment",46.92
"1402",2017 Q3,"F","WEAPONS","New Commitment",1.12
"1403",2017 Q3,"F","WEAPONS","Technical Commitment",1
"1404",2017 Q3,"M","OTHER","New Commitment",3.65
"1405",2017 Q3,"M","ALCOHOL & DRUG","New Commitment",349.98
"1406",2017 Q3,"M","ALCOHOL & DRUG","Technical Commitment",1
"1407",2017 Q3,"M","ALCOHOL & DRUG","Technical Commitment",56.32
"1408",2017 Q3,"M","DRIVING","New Commitment",125.53
"1409",2017 Q3,"M","DRIVING","Technical Commitment",31.79
"1410",2017 Q3,"M","DRUG POSSESSION ONLY","New Commitment",66.16
"1411",2017 Q3,"M","DRUG POSSESSION ONLY","Technical Commitment",24.12
"1412",2017 Q3,"M","MURDER","New Commitment",682.41
"1413",2017 Q3,"M","MURDER","Technical Commitment",26
"1414",2017 Q3,"M","MURDER","Technical Commitment",20.75
"1415",2017 Q3,"M","OTHER","New Commitment",56.65
"1416",2017 Q3,"M","OTHER","Technical Commitment",12.07
"1417",2017 Q3,"M","PERSON","New Commitment",1094.53
"1418",2017 Q3,"M","PERSON","Technical Commitment",4
"1419",2017 Q3,"M","PERSON","Technical Commitment",125.46
"1420",2017 Q3,"M","PROPERTY","New Commitment",739.32
"1421",2017 Q3,"M","PROPERTY","Technical Commitment",146.35
"1422",2017 Q3,"M","SEX OFFENSE","New Commitment",15.9
"1423",2017 Q3,"M","SEX OFFENSE","Technical Commitment",2.8
"1424",2017 Q3,"M","SEX OFFENSE","New Commitment",1985.11
"1425",2017 Q3,"M","SEX OFFENSE","Technical Commitment",12.01
"1426",2017 Q3,"M","SEX OFFENSE","Technical Commitment",186.16
"1427",2017 Q3,"M","WEAPONS","New Commitment",84.84
"1428",2017 Q3,"M","WEAPONS","Technical Commitment",21.77
"1429",2017 Q4,"F","ALCOHOL & DRUG","New Commitment",68.37
"1430",2017 Q4,"F","ALCOHOL & DRUG","Technical Commitment",9.45
"1431",2017 Q4,"F","DRIVING","New Commitment",11.3
"1432",2017 Q4,"F","DRIVING","Technical Commitment",1.05
"1433",2017 Q4,"F","DRUG POSSESSION ONLY","New Commitment",21.11
"1434",2017 Q4,"F","DRUG POSSESSION ONLY","Technical Commitment",4.53
"1435",2017 Q4,"F","MURDER","New Commitment",53.09
"1436",2017 Q4,"F","MURDER","Technical Commitment",1
"1437",2017 Q4,"F","MURDER","Technical Commitment",4
"1438",2017 Q4,"F","OTHER","New Commitment",15.36
"1439",2017 Q4,"F","OTHER","Technical Commitment",3.45
"1440",2017 Q4,"F","PERSON","New Commitment",81.82
"1441",2017 Q4,"F","PERSON","Technical Commitment",11.21
"1442",2017 Q4,"F","PROPERTY","New Commitment",121.84
"1443",2017 Q4,"F","PROPERTY","Technical Commitment",19.01
"1444",2017 Q4,"F","SEX OFFENSE","New Commitment",44.32
"1445",2017 Q4,"F","WEAPONS","New Commitment",2.66
"1446",2017 Q4,"M","OTHER","New Commitment",1.59
"1447",2017 Q4,"M","ALCOHOL & DRUG","New Commitment",352.03
"1448",2017 Q4,"M","ALCOHOL & DRUG","Technical Commitment",1
"1449",2017 Q4,"M","ALCOHOL & DRUG","Technical Commitment",54.76
"1450",2017 Q4,"M","DRIVING","New Commitment",117.12
"1451",2017 Q4,"M","DRIVING","Technical Commitment",36.33
"1452",2017 Q4,"M","DRUG POSSESSION ONLY","New Commitment",74.04
"1453",2017 Q4,"M","DRUG POSSESSION ONLY","Technical Commitment",22.73
"1454",2017 Q4,"M","MURDER","New Commitment",678.45
"1455",2017 Q4,"M","MURDER","Technical Commitment",25.45
"1456",2017 Q4,"M","MURDER","Technical Commitment",20.66
"1457",2017 Q4,"M","OTHER","New Commitment",61.21
"1458",2017 Q4,"M","OTHER","Technical Commitment",10.91
"1459",2017 Q4,"M","PERSON","New Commitment",1103.52
"1460",2017 Q4,"M","PERSON","Technical Commitment",4
"1461",2017 Q4,"M","PERSON","Technical Commitment",136.59
"1462",2017 Q4,"M","PROPERTY","New Commitment",742.26
"1463",2017 Q4,"M","PROPERTY","Technical Commitment",147.45
"1464",2017 Q4,"M","SEX OFFENSE","New Commitment",16
"1465",2017 Q4,"M","SEX OFFENSE","Technical Commitment",3.13
"1466",2017 Q4,"M","SEX OFFENSE","New Commitment",1980.52
"1467",2017 Q4,"M","SEX OFFENSE","Technical Commitment",12
"1468",2017 Q4,"M","SEX OFFENSE","Technical Commitment",182.05
"1469",2017 Q4,"M","WEAPONS","New Commitment",90.39
"1470",2017 Q4,"M","WEAPONS","Technical Commitment",20.42
"1471",2018 Q1,"F","ALCOHOL & DRUG","New Commitment",70.04
"1472",2018 Q1,"F","ALCOHOL & DRUG","Technical Commitment",8.52
"1473",2018 Q1,"F","DRIVING","New Commitment",11.98
"1474",2018 Q1,"F","DRIVING","Technical Commitment",1.68
"1475",2018 Q1,"F","DRUG POSSESSION ONLY","New Commitment",25.83
"1476",2018 Q1,"F","DRUG POSSESSION ONLY","Technical Commitment",6.43
"1477",2018 Q1,"F","MURDER","New Commitment",50.43
"1478",2018 Q1,"F","MURDER","Technical Commitment",1
"1479",2018 Q1,"F","MURDER","Technical Commitment",4.19
"1480",2018 Q1,"F","OTHER","New Commitment",14.49
"1481",2018 Q1,"F","OTHER","Technical Commitment",1.44
"1482",2018 Q1,"F","PERSON","New Commitment",85.88
"1483",2018 Q1,"F","PERSON","Technical Commitment",8.77
"1484",2018 Q1,"F","PROPERTY","New Commitment",140.23
"1485",2018 Q1,"F","PROPERTY","Technical Commitment",15.84
"1486",2018 Q1,"F","SEX OFFENSE","New Commitment",42.64
"1487",2018 Q1,"F","SEX OFFENSE","Technical Commitment",1
"1488",2018 Q1,"F","WEAPONS","New Commitment",3
"1489",2018 Q1,"F","WEAPONS","Technical Commitment",1
"1490",2018 Q1,"M","OTHER","New Commitment",1
"1491",2018 Q1,"M","ALCOHOL & DRUG","New Commitment",372.08
"1492",2018 Q1,"M","ALCOHOL & DRUG","Technical Commitment",1
"1493",2018 Q1,"M","ALCOHOL & DRUG","Technical Commitment",48.84
"1494",2018 Q1,"M","DRIVING","New Commitment",123.74
"1495",2018 Q1,"M","DRIVING","Technical Commitment",32.44
"1496",2018 Q1,"M","DRUG POSSESSION ONLY","New Commitment",80.88
"1497",2018 Q1,"M","DRUG POSSESSION ONLY","Technical Commitment",27.8
"1498",2018 Q1,"M","MURDER","New Commitment",679.03
"1499",2018 Q1,"M","MURDER","Technical Commitment",24.51
"1500",2018 Q1,"M","MURDER","Technical Commitment",15.76
"1501",2018 Q1,"M","OTHER","New Commitment",63.51
"1502",2018 Q1,"M","OTHER","Technical Commitment",11.62
"1503",2018 Q1,"M","PERSON","New Commitment",1117.74
"1504",2018 Q1,"M","PERSON","Technical Commitment",4
"1505",2018 Q1,"M","PERSON","Technical Commitment",128.84
"1506",2018 Q1,"M","PROPERTY","New Commitment",763.44
"1507",2018 Q1,"M","PROPERTY","Technical Commitment",151.68
"1508",2018 Q1,"M","SEX OFFENSE","New Commitment",19.24
"1509",2018 Q1,"M","SEX OFFENSE","Technical Commitment",2
"1510",2018 Q1,"M","SEX OFFENSE","New Commitment",1988.72
"1511",2018 Q1,"M","SEX OFFENSE","Technical Commitment",12
"1512",2018 Q1,"M","SEX OFFENSE","Technical Commitment",186.38
"1513",2018 Q1,"M","WEAPONS","New Commitment",85.42
"1514",2018 Q1,"M","WEAPONS","Technical Commitment",24.34
"1515",2018 Q2,"F","ALCOHOL & DRUG","New Commitment",81.62
"1516",2018 Q2,"F","ALCOHOL & DRUG","Technical Commitment",8.1
"1517",2018 Q2,"F","DRIVING","New Commitment",14.81
"1518",2018 Q2,"F","DRIVING","Technical Commitment",2.14
"1519",2018 Q2,"F","DRUG POSSESSION ONLY","New Commitment",30.81
"1520",2018 Q2,"F","DRUG POSSESSION ONLY","Technical Commitment",9.47
"1521",2018 Q2,"F","MURDER","New Commitment",49.29
"1522",2018 Q2,"F","MURDER","Technical Commitment",1
"1523",2018 Q2,"F","MURDER","Technical Commitment",5
"1524",2018 Q2,"F","OTHER","New Commitment",12.55
"1525",2018 Q2,"F","OTHER","Technical Commitment",3.37
"1526",2018 Q2,"F","PERSON","New Commitment",91.62
"1527",2018 Q2,"F","PERSON","Technical Commitment",8.18
"1528",2018 Q2,"F","PROPERTY","New Commitment",156.79
"1529",2018 Q2,"F","PROPERTY","Technical Commitment",20.93
"1530",2018 Q2,"F","SEX OFFENSE","New Commitment",43.41
"1531",2018 Q2,"F","SEX OFFENSE","Technical Commitment",1
"1532",2018 Q2,"F","WEAPONS","New Commitment",2.56
"1533",2018 Q2,"F","WEAPONS","Technical Commitment",1
"1534",2018 Q2,"M","OTHER","New Commitment",1
"1535",2018 Q2,"M","ALCOHOL & DRUG","New Commitment",383.95
"1536",2018 Q2,"M","ALCOHOL & DRUG","Technical Commitment",1
"1537",2018 Q2,"M","ALCOHOL & DRUG","Technical Commitment",44.2
"1538",2018 Q2,"M","DRIVING","New Commitment",126.19
"1539",2018 Q2,"M","DRIVING","Technical Commitment",35.22
"1540",2018 Q2,"M","DRUG POSSESSION ONLY","New Commitment",81.65
"1541",2018 Q2,"M","DRUG POSSESSION ONLY","Technical Commitment",23.95
"1542",2018 Q2,"M","MURDER","New Commitment",680.35
"1543",2018 Q2,"M","MURDER","Technical Commitment",24.36
"1544",2018 Q2,"M","MURDER","Technical Commitment",18.91
"1545",2018 Q2,"M","OTHER","New Commitment",68.76
"1546",2018 Q2,"M","OTHER","Technical Commitment",11.71
"1547",2018 Q2,"M","PERSON","New Commitment",1112.43
"1548",2018 Q2,"M","PERSON","Technical Commitment",4
"1549",2018 Q2,"M","PERSON","Technical Commitment",117.33
"1550",2018 Q2,"M","PROPERTY","New Commitment",763.58
"1551",2018 Q2,"M","PROPERTY","Technical Commitment",137.43
"1552",2018 Q2,"M","SEX OFFENSE","New Commitment",19.71
"1553",2018 Q2,"M","SEX OFFENSE","Technical Commitment",3
"1554",2018 Q2,"M","SEX OFFENSE","New Commitment",1984.23
"1555",2018 Q2,"M","SEX OFFENSE","Technical Commitment",12
"1556",2018 Q2,"M","SEX OFFENSE","Technical Commitment",181.51
"1557",2018 Q2,"M","WEAPONS","New Commitment",75.93
"1558",2018 Q2,"M","WEAPONS","Technical Commitment",16.18
"1559",2018 Q3,"F","ALCOHOL & DRUG","New Commitment",80.75
"1560",2018 Q3,"F","ALCOHOL & DRUG","Technical Commitment",9.22
"1561",2018 Q3,"F","DRIVING","New Commitment",17.37
"1562",2018 Q3,"F","DRIVING","Technical Commitment",1.34
"1563",2018 Q3,"F","DRUG POSSESSION ONLY","New Commitment",38.26
"1564",2018 Q3,"F","DRUG POSSESSION ONLY","Technical Commitment",5.41
"1565",2018 Q3,"F","MURDER","New Commitment",50.23
"1566",2018 Q3,"F","MURDER","Technical Commitment",1
"1567",2018 Q3,"F","MURDER","Technical Commitment",5
"1568",2018 Q3,"F","OTHER","New Commitment",14.37
"1569",2018 Q3,"F","OTHER","Technical Commitment",1.21
"1570",2018 Q3,"F","PERSON","New Commitment",95.5
"1571",2018 Q3,"F","PERSON","Technical Commitment",8.12
"1572",2018 Q3,"F","PROPERTY","New Commitment",159.96
"1573",2018 Q3,"F","PROPERTY","Technical Commitment",20.98
"1574",2018 Q3,"F","SEX OFFENSE","New Commitment",44.75
"1575",2018 Q3,"F","WEAPONS","New Commitment",4.04
"1576",2018 Q3,"F","WEAPONS","Technical Commitment",1
"1577",2018 Q3,"M","OTHER","New Commitment",1
"1578",2018 Q3,"M","ALCOHOL & DRUG","New Commitment",405.13
"1579",2018 Q3,"M","ALCOHOL & DRUG","Technical Commitment",1
"1580",2018 Q3,"M","ALCOHOL & DRUG","Technical Commitment",49.47
"1581",2018 Q3,"M","DRIVING","New Commitment",141.72
"1582",2018 Q3,"M","DRIVING","Technical Commitment",33.3
"1583",2018 Q3,"M","DRUG POSSESSION ONLY","New Commitment",77.11
"1584",2018 Q3,"M","DRUG POSSESSION ONLY","Technical Commitment",25.11
"1585",2018 Q3,"M","MURDER","New Commitment",684.08
"1586",2018 Q3,"M","MURDER","Technical Commitment",23.12
"1587",2018 Q3,"M","MURDER","Technical Commitment",22.22
"1588",2018 Q3,"M","OTHER","New Commitment",73.53
"1589",2018 Q3,"M","OTHER","Technical Commitment",13.82
"1590",2018 Q3,"M","PERSON","New Commitment",1104.03
"1591",2018 Q3,"M","PERSON","Technical Commitment",4
"1592",2018 Q3,"M","PERSON","Technical Commitment",138.15
"1593",2018 Q3,"M","PROPERTY","New Commitment",767.57
"1594",2018 Q3,"M","PROPERTY","Technical Commitment",167.36
"1595",2018 Q3,"M","SEX OFFENSE","New Commitment",20.25
"1596",2018 Q3,"M","SEX OFFENSE","Technical Commitment",2
"1597",2018 Q3,"M","SEX OFFENSE","New Commitment",1984.97
"1598",2018 Q3,"M","SEX OFFENSE","Technical Commitment",11.34
"1599",2018 Q3,"M","SEX OFFENSE","Technical Commitment",176.25
"1600",2018 Q3,"M","WEAPONS","New Commitment",78.36
"1601",2018 Q3,"M","WEAPONS","Technical Commitment",15.59
"1602",2018 Q4,"F","ALCOHOL & DRUG","New Commitment",83.85
"1603",2018 Q4,"F","ALCOHOL & DRUG","Technical Commitment",9.36
"1604",2018 Q4,"F","DRIVING","New Commitment",20.22
"1605",2018 Q4,"F","DRIVING","Technical Commitment",1.23
"1606",2018 Q4,"F","DRUG POSSESSION ONLY","New Commitment",30.68
"1607",2018 Q4,"F","DRUG POSSESSION ONLY","Technical Commitment",5.49
"1608",2018 Q4,"F","MURDER","New Commitment",50.45
"1609",2018 Q4,"F","MURDER","Technical Commitment",1
"1610",2018 Q4,"F","MURDER","Technical Commitment",4.91
"1611",2018 Q4,"F","OTHER","New Commitment",16.91
"1612",2018 Q4,"F","OTHER","Technical Commitment",1.36
"1613",2018 Q4,"F","PERSON","New Commitment",98.11
"1614",2018 Q4,"F","PERSON","Technical Commitment",9.17
"1615",2018 Q4,"F","PROPERTY","New Commitment",163.58
"1616",2018 Q4,"F","PROPERTY","Technical Commitment",25.8
"1617",2018 Q4,"F","SEX OFFENSE","New Commitment",43.67
"1618",2018 Q4,"F","SEX OFFENSE","Technical Commitment",1.51
"1619",2018 Q4,"F","WEAPONS","New Commitment",6.35
"1620",2018 Q4,"F","WEAPONS","Technical Commitment",1
"1621",2018 Q4,"M","ALCOHOL & DRUG","New Commitment",405.58
"1622",2018 Q4,"M","ALCOHOL & DRUG","Technical Commitment",1.01
"1623",2018 Q4,"M","ALCOHOL & DRUG","Technical Commitment",60.47
"1624",2018 Q4,"M","DRIVING","New Commitment",151.46
"1625",2018 Q4,"M","DRIVING","Technical Commitment",39.54
"1626",2018 Q4,"M","DRUG POSSESSION ONLY","New Commitment",71.45
"1627",2018 Q4,"M","DRUG POSSESSION ONLY","Technical Commitment",25.64
"1628",2018 Q4,"M","MURDER","New Commitment",689.02
"1629",2018 Q4,"M","MURDER","Technical Commitment",22.89
"1630",2018 Q4,"M","MURDER","Technical Commitment",19.65
"1631",2018 Q4,"M","OTHER","New Commitment",74.93
"1632",2018 Q4,"M","OTHER","Technical Commitment",16.96
"1633",2018 Q4,"M","PERSON","New Commitment",1086.76
"1634",2018 Q4,"M","PERSON","Technical Commitment",3.4
"1635",2018 Q4,"M","PERSON","Technical Commitment",152.85
"1636",2018 Q4,"M","PROPERTY","New Commitment",784.79
"1637",2018 Q4,"M","PROPERTY","Technical Commitment",164.82
"1638",2018 Q4,"M","SEX OFFENSE","New Commitment",21.66
"1639",2018 Q4,"M","SEX OFFENSE","Technical Commitment",2.82
"1640",2018 Q4,"M","SEX OFFENSE","New Commitment",1974.26
"1641",2018 Q4,"M","SEX OFFENSE","Technical Commitment",10.55
"1642",2018 Q4,"M","SEX OFFENSE","Technical Commitment",176.79
"1643",2018 Q4,"M","WEAPONS","New Commitment",85.85
"1644",2018 Q4,"M","WEAPONS","Technical Commitment",15.39
"1645",2019 Q1,"F","ALCOHOL & DRUG","New Commitment",83.61
"1646",2019 Q1,"F","ALCOHOL & DRUG","Technical Commitment",14.11
"1647",2019 Q1,"F","DRIVING","New Commitment",19.57
"1648",2019 Q1,"F","DRIVING","Technical Commitment",1.4
"1649",2019 Q1,"F","DRUG POSSESSION ONLY","New Commitment",21.97
"1650",2019 Q1,"F","DRUG POSSESSION ONLY","Technical Commitment",7.71
"1651",2019 Q1,"F","MURDER","New Commitment",51.7
"1652",2019 Q1,"F","MURDER","Technical Commitment",1
"1653",2019 Q1,"F","MURDER","Technical Commitment",3.31
"1654",2019 Q1,"F","OTHER","New Commitment",18.26
"1655",2019 Q1,"F","OTHER","Technical Commitment",3.98
"1656",2019 Q1,"F","PERSON","New Commitment",101.07
"1657",2019 Q1,"F","PERSON","Technical Commitment",12.34
"1658",2019 Q1,"F","PROPERTY","New Commitment",164.42
"1659",2019 Q1,"F","PROPERTY","Technical Commitment",24.82
"1660",2019 Q1,"F","SEX OFFENSE","New Commitment",44.58
"1661",2019 Q1,"F","SEX OFFENSE","Technical Commitment",1.71
"1662",2019 Q1,"F","WEAPONS","New Commitment",6.94
"1663",2019 Q1,"F","WEAPONS","Technical Commitment",1
"1664",2019 Q1,"M","ALCOHOL & DRUG","New Commitment",405.14
"1665",2019 Q1,"M","ALCOHOL & DRUG","Technical Commitment",1
"1666",2019 Q1,"M","ALCOHOL & DRUG","Technical Commitment",69.37
"1667",2019 Q1,"M","DRIVING","New Commitment",148.43
"1668",2019 Q1,"M","DRIVING","Technical Commitment",41.3
"1669",2019 Q1,"M","DRUG POSSESSION ONLY","New Commitment",79.72
"1670",2019 Q1,"M","DRUG POSSESSION ONLY","Technical Commitment",25.31
"1671",2019 Q1,"M","MURDER","New Commitment",690.79
"1672",2019 Q1,"M","MURDER","Technical Commitment",22.93
"1673",2019 Q1,"M","MURDER","Technical Commitment",14.19
"1674",2019 Q1,"M","OTHER","New Commitment",74.74
"1675",2019 Q1,"M","OTHER","Technical Commitment",15.03
"1676",2019 Q1,"M","PERSON","New Commitment",1085.26
"1677",2019 Q1,"M","PERSON","Technical Commitment",3.83
"1678",2019 Q1,"M","PERSON","Technical Commitment",179.04
"1679",2019 Q1,"M","PROPERTY","New Commitment",781.16
"1680",2019 Q1,"M","PROPERTY","Technical Commitment",175.53
"1681",2019 Q1,"M","SEX OFFENSE","New Commitment",23.2
"1682",2019 Q1,"M","SEX OFFENSE","Technical Commitment",3
"1683",2019 Q1,"M","SEX OFFENSE","New Commitment",1987.03
"1684",2019 Q1,"M","SEX OFFENSE","Technical Commitment",9.9
"1685",2019 Q1,"M","SEX OFFENSE","Technical Commitment",176.02
"1686",2019 Q1,"M","WEAPONS","New Commitment",94.16
"1687",2019 Q1,"M","WEAPONS","Technical Commitment",17.76
"1688",2019 Q2,"F","ALCOHOL & DRUG","New Commitment",82.9
"1689",2019 Q2,"F","ALCOHOL & DRUG","Technical Commitment",14.89
"1690",2019 Q2,"F","DRIVING","New Commitment",20.33
"1691",2019 Q2,"F","DRIVING","Technical Commitment",2.35
"1692",2019 Q2,"F","DRUG POSSESSION ONLY","New Commitment",24.23
